fecha,sku,demanda_unidades,precio_clp,insumo_critico,promocion,indice_estres_insumos,lead_time_dias,inventario_unidades,quiebre_stock,dia_semana,mes,año,procedencia_primaria,precio_unitario_primario_clp,procedencia_secundaria,precio_unitario_secundario_clp
2021-01-01,NotMilk,1033,1770,proteina de arveja,0,0.305,34,17000,0,4,1,2021,Canada,1639,Estados Unidos,2553
2021-01-02,NotMilk,1439,1770,proteina de arveja,1,0.29,37,15967,0,5,1,2021,Canada,1639,Estados Unidos,2553
2021-01-03,NotMilk,942,1770,proteina de arveja,0,0.282,34,14528,0,6,1,2021,Canada,1639,Estados Unidos,2553
2021-01-04,NotMilk,882,1770,proteina de arveja,0,0.262,33,13586,0,0,1,2021,Canada,1639,Estados Unidos,2553
2021-01-05,NotMilk,822,1770,proteina de arveja,0,0.251,36,12704,0,1,1,2021,Canada,1639,Estados Unidos,2553
2021-01-06,NotMilk,728,1770,proteina de arveja,0,0.367,31,11882,0,2,1,2021,Canada,1639,Estados Unidos,2553
2021-01-07,NotMilk,1066,1770,proteina de arveja,0,0.301,32,11154,0,3,1,2021,Canada,1639,Estados Unidos,2553
2021-01-08,NotMilk,1117,1770,proteina de arveja,0,0.273,35,10088,0,4,1,2021,Canada,1639,Estados Unidos,2553
2021-01-09,NotMilk,1136,1770,proteina de arveja,0,0.237,35,8971,0,5,1,2021,Canada,1639,Estados Unidos,2553
2021-01-10,NotMilk,1301,1770,proteina de arveja,0,0.277,35,7835,0,6,1,2021,Canada,1639,Estados Unidos,2553
2021-01-11,NotMilk,726,1770,proteina de arveja,0,0.248,32,6534,0,0,1,2021,Canada,1639,Estados Unidos,2553
2021-01-12,NotMilk,1154,1770,proteina de arveja,1,0.218,33,5808,0,1,1,2021,Canada,1639,Estados Unidos,2553
2021-01-13,NotMilk,873,1770,proteina de arveja,0,0.197,35,4654,0,2,1,2021,Canada,1639,Estados Unidos,2553
2021-01-14,NotMilk,1045,1770,proteina de arveja,0,0.204,36,3781,0,3,1,2021,Canada,1639,Estados Unidos,2553
